Eigvals	3
26.915121173025327	20.48581266036949	16.39453139791039

Proportion explained	3
0.12951339166759124	0.09857607779861643	0.07888916243379948

Species	0	0

Site	616	3
1629.SubjectIBD335	-0.18916640211290356	0.10541969258640953	0.00873811759497111
1629.SubjectIBD643	-0.23474429834269547	0.08213980867560852	-0.06353846266983972
1629.SubjectIBD539	0.00314304976064005	0.09111392799321226	0.09823659109792097
1629.SubjectIBD078	0.1033839230184047	0.050014585471786346	0.1514107904475381
1629.SubjectIBD671	0.10202023743391339	-0.4937641175498527	-0.02443364698497499
1629.SubjectIBD067	-0.07703317244207722	-0.045391324542674284	-0.000848330874622902
1629.SubjectIBD276	-0.04574968481754636	0.021231029408751215	0.015698120080268736
1629.SubjectIBD419	0.04495741162203877	0.06725661056148907	0.3036347399480633
1629.SubjectIBD243	-0.1957805078869579	-0.08821399066185787	-0.19166287037418764
1629.SubjectIBD284	-0.1698732739148171	0.12055684473757501	-0.0390008439612755
1629.SubjectIBD026	0.2298140029011559	-0.580752708791389	0.028490494654485228
1629.SubjectIBD345	0.029840713301069396	-0.0485795330576728	0.20417190783408812
1629.SubjectIBD199	-0.2281815930503404	-0.07659124066909827	-0.19847364406716198
1629.SubjectIBD390	0.0032281608358448208	-0.16349285036815997	0.07641573322306335
1629.SubjectIBD237	-0.09336694167765296	0.14071557569535126	0.10136904753586222
1629.SubjectIBD210	0.3072616978922099	0.10385677458108337	-0.20575290046981282
1629.SubjectIBD263	-0.13782748290389774	0.1344209024679538	0.07988874923520362
1629.SubjectIBD173	0.1406847108674702	-0.1643476563726804	0.1332924902497149
1629.SubjectIBD268	-0.002776512346173418	0.10634559577402984	0.2593374861411024
1629.SubjectIBD326	-0.2652016334786748	0.013780610329072029	-0.06290087860986188
1629.SubjectIBD246	-0.017328290127359	-0.10773626687736688	0.05748151332467335
1629.SubjectIBD302	-0.15300372508248508	0.10343043127001435	0.00239834285316577
1629.SubjectIBD118	0.16389439474760698	-0.3219823742950137	0.05938665637757505
1629.SubjectIBD105	0.003404424827183527	0.11532404470371933	0.2379745297019697
1629.SubjectIBD334	0.1842249259223521	-0.5402675053734406	0.049683336633122986
1629.SubjectIBD271	-0.2989206273578265	0.05350134550904471	-0.17720019825905806
1629.SubjectIBD260	0.17246326407969473	-0.3144242593552721	0.08309939988758273
1629.SubjectIBD407	0.49679748910288246	0.20947370696051001	-0.26606138877569935
1629.SubjectIBD275	-0.07546787898852923	0.018137165933871935	0.009608050474356719
1629.SubjectIBD254	-0.1449308350273256	0.10790133097711264	0.11645498719586321
1629.SubjectIBD614	0.10528149911519315	-0.09594450923313172	0.05508455727620917
1629.SubjectIBD021	-0.14381681779930527	0.06484169268007346	0.07409973651729031
1629.SubjectIBD150	0.12165477197213807	0.02544809731122684	0.33549551528427646
1629.SubjectIBD291	-0.0032704674097497484	0.052299527588616834	0.036718259529748005
1629.SubjectIBD430	0.23153241428025265	-0.6002650645511075	-0.0130472084257312
1629.SubjectIBD405	0.0353657094031543	0.11439967686794851	0.212077284903034
1629.SubjectIBD545	-0.011077625931950986	0.031211365114818992	0.1456442244346316
1629.SubjectIBD338	-0.18372424184906444	0.10146242793644214	-0.007745771077924366
1629.SubjectIBD310	0.1698670651809149	-0.2508142648843168	0.1538377600617617
1629.SubjectIBD089	0.22550178689278955	-0.5365259651230809	0.01810006444459882
1629.SubjectIBD111	0.16213564463487032	-0.577677181445255	-0.012734652186684363
1629.SubjectIBD364	-0.33128589414521065	-0.001891255607456923	-0.16801958107891293
1629.SubjectIBD418	-0.2938301762788307	0.09115709765592592	-0.09101982608257429
1629.SubjectIBD470	0.026309128807161956	0.04183718241976942	0.18073496643769965
1629.SubjectIBD380	0.22739886066810905	0.08496111807474509	0.09878277028817622
1629.SubjectIBD224	0.4383028848984605	0.18654916111609812	-0.1991732060903404
1629.SubjectIBD504	0.37824361075220025	0.20528738045973666	-0.13410705556543837
1629.SubjectIBD148	-0.05527843553991852	0.12027052752275143	0.1085557278552584
1629.SubjectIBD163	0.22833399198923773	-0.5750168982094408	0.07999014429022981
1629.SubjectIBD469	0.10757821796997323	0.05546916291016836	0.3018822926898143
1629.SubjectIBD181	-0.20124024049143605	0.060635917046015626	-0.039284230195714705
1629.SubjectIBD558	0.010521650814874247	-0.35165362205840694	0.03786221502192345
1629.SubjectIBD278	-0.08929085543044273	0.12336889873688836	0.17316031475341853
1629.SubjectIBD285	-0.09675632984295009	0.013204611425589974	-0.19637623207615218
1629.SubjectIBD049	-0.23287994814714805	0.10477718547575306	-0.037217567659771154
1629.SubjectIBD479	-0.16225062203090795	-0.17034735388059744	-0.11144523832763079
1629.SubjectIBD160	-0.04818675202767825	0.062971706711917	0.13273248988130976
1629.SubjectIBD144	0.16840253573687483	-0.24880417182233258	0.11845858377352493
1629.SubjectIBD053	-0.12219486449353402	0.008671069231432831	0.08256779820924973
1629.SubjectIBD123	0.032143093403855724	0.11338263142051642	0.10339275323462253
1629.SubjectIBD518	0.35421442807510095	0.19556699958772952	-0.3273539127565336
1629.SubjectIBD374	-0.3150962844696798	0.04215167565947849	-0.138042319899424
1629.SubjectIBD120	0.23509909253428482	-0.615399308821965	0.022870150197721394
1629.SubjectIBD548	0.07685374068520959	0.03214591925001546	0.27143979722882783
1629.SubjectIBD454	-0.18959077322140924	0.126947020668461	0.0348309871694014
1629.SubjectIBD489	0.03938429406358202	0.01873466731325067	0.2180720124212414
1629.SubjectIBD480	-0.1693280821216577	-0.1151713753967638	-0.04771343215213312
1629.SubjectIBD408	0.00758405095750271	0.07888565198220628	0.174817435112015
1629.SubjectIBD532	0.07442662630614795	0.13079524988189728	-0.08491194582721444
1629.SubjectIBD373	-0.18935452095492894	-0.011227688657551098	-0.022786856727074124
1629.SubjectIBD533	0.12964032254244393	0.22789726290138929	-0.09054698920846399
1629.SubjectIBD012	-0.20490894440548113	-0.04345871397783355	-0.20898956508991726
1629.SubjectIBD516	-0.08078518811786946	0.06610481199874273	0.018784096990041566
1629.SubjectIBD030	-0.18232925718640444	0.08421983522933661	-0.02727474519622987
1629.SubjectIBD565	-0.1813576051605754	0.09057043685485279	-0.0675955546889225
1629.SubjectIBD130	0.10747704376179633	0.06815445519454807	0.03931229285256998
